algo,n,nanos,comparisons,moves,allocations,maxDepth
MergeSort,1000,894583,9012,18238,4000,9
MergeSort,10000,2173917,123570,249047,40000,12
MergeSort,100000,12118834,1574068,3183585,400000,15
MergeSort,500000,49687917,9015430,18158436,2000000,18
QuickSort,1000,1587333,13292,12081,0,6
QuickSort,10000,2908666,180447,142584,0,8
QuickSort,100000,22102541,2153014,1675230,0,11
QuickSort,500000,62508334,11798641,9234984,0,12
SelectMoM5,1000,2757166,5072,7533,1604,10
SelectMoM5,10000,5320500,50633,72885,16048,14
SelectMoM5,100000,17461625,499387,692415,159840,17
SelectMoM5,500000,39109875,2499410,3488451,800772,19
ClosestPair,1000,2047875,3814,0,177328,9
ClosestPair,10000,10103208,45786,0,2313224,12
ClosestPair,100000,83413625,555190,0,28674008,16
ClosestPair,500000,802100292,3381906,0,170509304,18
ClosestPair,500000,170826375,3369213,0,170428808,18
ClosestPair,500000,168317125,3383183,0,170525744,18
